Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,47.1275808768289
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,37.4495998625311
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gibraltar,GIB,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,40.1107639268746
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,41.0427004962382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Grenada,GRD,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,22.2501966955153
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guatemala,GTM,17.6119761529528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,35.042049336042
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,27.0026855948093
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guyana,GUY,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Haiti,HTI,10.5576734334849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Honduras,HND,40.2189637388964
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Hong Kong SAR, China",HKG,177.651315174364
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,81.5297406120423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iceland,ISL,43.7132484395931
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,18.6642648972528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,18.5915277973681
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Iran, Islamic Rep.",IRN,23.4838672675323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iraq,IRQ,38.0518681988838
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ireland,IRL,128.004242909111
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Isle of Man,IMN,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Israel,ISR,29.0493529523896
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,31.6024197276206
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jamaica,JAM,38.0360807474106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Japan,JPN,17.4635264275221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jordan,JOR,36.6712029623066
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kazakhstan,KAZ,36.4389870990994
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kenya,KEN,11.4279966637126
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kiribati,KIR,14.9861483974359
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Dem. People's Rep.",PRK,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Rep.",KOR,39.2758610673609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kosovo,XKX,29.3126074591152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kuwait,KWT,52.3310917890614
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kyrgyz Republic,KGZ,33.4764696600324
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lao PDR,LAO,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latvia,LVA,60.0210271401091
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lebanon,LBN,20.6977589567577
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lesotho,LSO,46.2093281781161
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liberia,LBR,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Libya,LBY,41.2612030672135
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liechtenstein,LIE,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lithuania,LTU,77.2441152993638
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Luxembourg,LUX,206.411649793168
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Macao SAR, China",MAC,82.706393125478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Madagascar,MDG,28.4244012431975
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malawi,MWI,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malaysia,MYS,65.2777668428576
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Maldives,MDV,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mali,MLI,25.7052911327686
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malta,MLT,163.818082515006
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Marshall Islands,MHL,37.2063266205984
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritania,MRT,42.3975240406607
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritius,MUS,44.6671405250455
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mexico,MEX,38.4970333000564
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Micronesia, Fed. Sts.",FSM,26.7941370558376
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Moldova,MDA,31.1910849579769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Monaco,MCO,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mongolia,MNG,59.2172331806539
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Montenegro,MNE,43.8466387797969
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Morocco,MAR,34.093057468891
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mozambique,MOZ,37.1420563594711
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Myanmar,MMR,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Namibia,NAM,36.400882444122
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nauru,NRU,60.5714285714286
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nepal,NPL,7.77993647445109
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Netherlands,NLD,82.5377127008628
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Caledonia,NCL,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Zealand,NZL,27.3503056565813
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nicaragua,NIC,44.8045000879666
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Niger,NER,10.7593769160532
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nigeria,NGA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,North Macedonia,MKD,62.4080567878813
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Northern Mariana Islands,MNP,42.3370025402202
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Norway,NOR,36.640925320627
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Oman,OMN,49.492016987897
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Pakistan,PAK,9.39086337877951
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Palau,PLW,37.9182813185067
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Panama,PAN,40.3086697473788
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Papua New Guinea,PNG,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Paraguay,PRY,36.0872909434467
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Peru,PER,24.0390874349068
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Philippines,PHL,28.3829200122031
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Poland,POL,53.1953356183897
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Portugal,PRT,43.5084218458323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Puerto Rico,PRI,60.5788840862048
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Qatar,QAT,52.1888599262863
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Romania,ROU,40.2001946616386
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,28.4334306799759
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Rwanda,RWA,21.8254493508994
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Samoa,WSM,35.033330142378
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,San Marino,SMR,163.997239166731
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sao Tome and Principe,STP,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Saudi Arabia,SAU,34.0891962076157
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Senegal,SEN,24.9831341973865
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Serbia,SRB,51.0109231509171
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Seychelles,SYC,82.3562686214226
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sierra Leone,SLE,18.2469355821227
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Singapore,SGP,176.300088650586
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sint Maarten (Dutch part),SXM,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovak Republic,SVK,91.908685245264
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovenia,SVN,83.6146933079979
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Solomon Islands,SLB,36.4969019192988
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Somalia,SOM,12.0058197867515
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,27.2021294051151
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Sudan,SSD,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Spain,ESP,34.9069018147542
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sri Lanka,LKA,21.8235328944217
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Kitts and Nevis,KNA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Lucia,LCA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Martin (French part),MAF,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Vincent and the Grenadines,VCT,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sudan,SDN,8.45298341762853
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Suriname,SUR,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sweden,SWE,47.8092109523511
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Switzerland,CHE,66.9653936798419
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Syrian Arab Republic,SYR,13.0100664640827
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tajikistan,TJK,14.9799392742745
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tanzania,TZA,16.0367461484986
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Thailand,THA,59.5188906218859
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Timor-Leste,TLS,21.2720506908123
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Togo,TGO,23.8124527104537
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tonga,TON,21.9718329230219
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Trinidad and Tobago,TTO,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tunisia,TUN,45.9504427945255
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkiye,TUR,33.0742147083823
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkmenistan,TKM,24.7336007327164
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turks and Caicos Islands,TCA,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tuvalu,TUV,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uganda,UGA,17.1090580167383
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ukraine,UKR,41.2316912560049
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Arab Emirates,ARE,96.6641687524381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Kingdom,GBR,31.63478028095
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United States,USA,11.7950067827852
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uruguay,URY,27.718333861424
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uzbekistan,UZB,28.2980025068381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Vanuatu,VUT,50.3452768729642
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Venezuela, RB",VEN,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Viet Nam,VNM,85.1575871009316
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Virgin Islands (U.S.),VIR,54.9623877699587
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,West Bank and Gaza,PSE,15.5210552426533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Yemen, Rep.",YEM,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zambia,ZMB,34.6361926031881
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zimbabwe,ZWE,27.5541564071286
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Africa Eastern and Southern,AFE,23.9031236285442
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Africa Western and Central,AFW,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Arab World,ARB,43.0914173175096
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Caribbean small states,CSS,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central Europe and the Baltics,CEB,62.2062459109166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Early-demographic dividend,EAR,24.8020101780457
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,East Asia & Pacific,EAS,27.9295717686753
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,East Asia & Pacific (excluding high income),EAP,22.406504487144
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,22.405163343868
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Euro area,EMU,48.3069146763897
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Europe & Central Asia,ECS,45.0419095786687
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Europe & Central Asia (excluding high income),ECA,36.9641994347545
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,36.6561262720335
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,European Union,EUU,49.4016501432035
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fragile and conflict affected situations,FCS,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Heavily indebted poor countries (HIPC),HPC,23.1473392609543
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,High income,HIC,31.2103807711926
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IBRD only,IBD,24.4307671489356
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IDA & IBRD total,IBT,24.0004513435968
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IDA blend,IDB,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IDA only,IDX,21.1581074335567
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IDA total,IDA,19.5175070743399
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Late-demographic dividend,LTE,28.1207434322555
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latin America & Caribbean,LCN,24.34062031817
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latin America & Caribbean (excluding high income),LAC,23.0511152724731
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,23.8367630600641
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Least developed countries: UN classification,LDC,20.3900694175128
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Low & middle income,LMY,22.8181172848694
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Low income,LIC,18.2945818370649
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lower middle income,LMC,24.099144018619
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Middle East & North Africa,MEA,40.8867852105216
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Middle East & North Africa (excluding high income),MNA,26.5602406353135
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,26.6938139833511
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Middle income,MIC,22.8959461106879
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,North America,NAC,13.3480607298892
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Not classified,INX,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,OECD members,OED,28.006257163164
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Other small states,OSS,71.9239162327564
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Pacific island small states,PSS,42.3231171267953
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Post-demographic dividend,PST,28.8580306779946
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Pre-demographic dividend,PRE,23.2505864581158
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Small states,SST,66.7400605019595
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Asia,SAS,17.2173067158903
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Asia (IDA & IBRD),TSA,17.2173067158903
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sub-Saharan Africa,SSF,22.9840707491069
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sub-Saharan Africa (excluding high income),SSA,22.9121729193751
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,22.9840707491069
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Upper middle income,UMC,22.7072304923577
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/13/2024,,,,
